분류,점검 항목,테스트 데이터,기대 결과
초기화면 (ONLOADED),페이지 초기 로드 시 기본값 설정 확인,페이지 진입,기본 검색 조건 및 초기 데이터가 표시된다.
버튼클릭 (ONCLICK),조회 버튼 클릭 시 데이터 조회 확인,조회 버튼 클릭,입력된 검색 조건으로 데이터가 조회되고 그리드가 갱신된다.
입력 (ONINPUT),텍스트 입력 시 실시간 반영 확인,검색어 입력,입력한 값이 실시간으로 화면에 반영된다.
필터변경 (ONCHANGE),필터 선택 시 데이터 갱신 확인,상태 필터 변경,선택한 필터 조건에 맞는 데이터가 표시된다.
엔터키 (ONKEYPRESS),Enter 키 입력 시 조회 동작 확인,검색어 입력 + Enter,검색 버튼 클릭과 동일한 조회가 수행된다.
유효성검사 (VALIDATION),필수값 미입력 시 검증 확인,필수 필드 빈 값으로 제출,"오류 메시지 ""필수 항목입니다"" 표시 및 제출 차단"
페이지네이션 (ONCHANGE),페이지 번호 변경 시 목록 갱신 확인,2페이지 선택,해당 페이지의 데이터가 로드되고 화면에 표시된다.
정렬 (ONCLICK),컬럼 헤더 클릭 시 정렬 확인,날짜 컬럼 헤더 클릭,날짜 기준 오름차순/내림차순으로 데이터가 정렬된다.
에러처리 (ONERROR),API 호출 실패 시 처리 확인,네트워크 오류 발생,오류 메시지가 사용자에게 표시되고 로딩 상태가 해제된다.
로딩상태 (ONLOADING),데이터 로딩 중 UI 표시 확인,API 응답 대기 중,로딩 스피너 또는 스켈레톤 UI가 표시된다.
엣지케이스 (EDGE),조회 결과 0건 처리 확인,존재하지 않는 조건 검색,"""조회된 데이터가 없습니다"" 메시지 표시"
